TOPIC,DESCRIPTION,,Count,
Mother tongue,          Lillooet,,0,
Mother tongue,          Ntlakapamux (Thompson),,0,
Mother tongue,          Secwepemctsin (Shuswap),,0,
Mother tongue,          Squamish,,0,
Mother tongue,          Straits,,0,
Mother tongue,          Syilx (Okanagan),,0,
Mother tongue,"          Salish languages, n.i.e.",,0,
Mother tongue,        Siouan languages,,80,
Mother tongue,          Assiniboine,,0,
Mother tongue,          Dakota,,15,
Mother tongue,          Stoney,,60,
Mother tongue,"          Siouan languages, n.i.e.",,5,
Mother tongue,        Tsimshian languages,,5,
Mother tongue,          Gitxsan (Gitksan),,5,
Mother tongue,          Nisga'a,,0,
Mother tongue,          Tsimshian,,0,
Mother tongue,        Wakashan languages,,0,
Mother tongue,          Haisla,,0,
Mother tongue,          Heiltsuk,,0,
Mother tongue,          Kwak'wala (Kwakiutl),,0,
Mother tongue,          Nuu-chah-nulth (Nootka),,0,
Mother tongue,"          Wakashan languages, n.i.e.",,0,
Mother tongue,"        Indigenous languages, n.i.e.",,0,
Mother tongue,"        Indigenous languages, n.o.s.",,10,
Mother tongue,      Non-Indigenous languages,,382470,
Mother tongue,        Afro-Asiatic languages,,34290,
Mother tongue,          Berber languages,,125,
Mother tongue,            Kabyle,,90,
Mother tongue,            Tamazight,,30,
Mother tongue,"            Berber languages, n.i.e.",,5,
Mother tongue,          Chadic languages,,40,
Mother tongue,            Hausa,,40,
Mother tongue,            Mina,,0,
Mother tongue,          Coptic,,30,
Mother tongue,          Cushitic languages,,3165,
Mother tongue,            Bilen,,170,
Mother tongue,            Oromo,,1370,
Mother tongue,            Somali,,1600,
Mother tongue,"            Cushitic languages, n.i.e.",,25,
Mother tongue,          Semitic languages,,30935,
Mother tongue,            Amharic,,4460,
Mother tongue,            Arabic,,20395,
Mother tongue,            Aramaic languages,,635,
Mother tongue,              Assyrian Neo-Aramaic,,325,
Mother tongue,              Chaldean Neo-Aramaic,,215,
Mother tongue,"              Aramaic, n.o.s.",,95,
Mother tongue,            Harari,,40,
Mother tongue,            Hebrew,,455,
Mother tongue,            Maltese,,15,
Mother tongue,            Tigrigna,,4890,
Mother tongue,"            Semitic languages, n.i.e.",,35,
Mother tongue,        Austro-Asiatic languages,,13755,
Mother tongue,          Khmer (Cambodian),,795,
Mother tongue,          Vietnamese,,12855,
Mother tongue,"          Austro-Asiatic languages, n.i.e",,110,
Mother tongue,        Austronesian languages,,51040,
Mother tongue,          Bikol,,195,
Mother tongue,"          Bisaya, n.o.s.",,865,
Mother tongue,          Cebuano,,1840,
Mother tongue,          Fijian,,45,
Mother tongue,          Hiligaynon,,955,
Mother tongue,          Ilocano,,3435,
Mother tongue,          Indonesian,,665,
Mother tongue,          Kankanaey,,190,
Mother tongue,          Kinaray-a,,85,
Mother tongue,          Malagasy languages,,30,
Mother tongue,            Merina,,5,
Mother tongue,"            Malagasy, n.o.s.",,25,
Mother tongue,          Malay,,135,
Mother tongue,"          Pampangan (Kapampangan, Pampango)",,460,
Mother tongue,          Pangasinan,,195,
Mother tongue,"          Tagalog (Pilipino, Filipino)",,41375,
Mother tongue,          Waray-Waray,,155,
Mother tongue,"          Austronesian languages, n.i.e.",,420,
Mother tongue,        Creole languages,,560,
Mother tongue,          Haitian Creole,,165,
Mother tongue,          Jamaican English Creole,,15,
Mother tongue,          Krio,,55,
Mother tongue,          Morisyen,,95,
Mother tongue,          Sango,,0,
Mother tongue,"          Creole, n.o.s.",,145,
Mother tongue,"          Creole languages, n.i.e.",,80,
Mother tongue,        Dravidian languages,,6430,
Mother tongue,          Kannada,,355,
Mother tongue,          Malayalam,,2655,
Mother tongue,          Tamil,,2095,
Mother tongue,          Telugu,,1255,
Mother tongue,          Tulu,,50,
Mother tongue,"          Dravidian languages, n.i.e.",,20,
Mother tongue,        Georgian,,120,
Mother tongue,        Hmong-Mien languages,,0,
Mother tongue,        Indo-European languages,,182725,
Mother tongue,          Albanian,,1330,
Mother tongue,          Armenian,,260,
Mother tongue,          Balto-Slavic languages,,27355,
Mother tongue,            Baltic languages,,435,
Mother tongue,              Latvian,,170,
Mother tongue,              Lithuanian,,270,
Mother tongue,            Slavic languages,,26925,
Mother tongue,              Belarusian,,20,
Mother tongue,              Bulgarian,,785,
Mother tongue,              Czech,,1190,
Mother tongue,              Macedonian,,135,
Mother tongue,              Polish,,6845,
Mother tongue,              Russian,,9460,
Mother tongue,              Rusyn,,0,
Mother tongue,              Serbo-Croatian,,4440,
Mother tongue,                Bosnian,,780,
Mother tongue,                Croatian,,1755,
Mother tongue,                Serbian,,1830,
Mother tongue,"                Serbo-Croatian, n.i.e.",,75,
Mother tongue,              Slovak,,940,
Mother tongue,              Slovene (Slovenian),,195,
Mother tongue,              Ukrainian,,2900,
Mother tongue,"              Slavic languages, n.i.e.",,10,
Mother tongue,          Celtic languages,,100,
Mother tongue,            Irish,,30,
Mother tongue,            Scottish Gaelic,,20,
Mother tongue,            Welsh,,40,
Mother tongue,"            Celtic languages, n.i.e.",,10,
Mother tongue,          Germanic languages,,12360,
Mother tongue,            Frisian,,30,
Mother tongue,            High German languages,,7370,
Mother tongue,              German,,7100,
Mother tongue,              Pennsylvania German,,0,
Mother tongue,              Swiss German,,210,
Mother tongue,              Yiddish,,55,
Mother tongue,            Low Saxon-Low Franconian languages,,3940,
Mother tongue,              Afrikaans,,905,
Mother tongue,              Dutch,,2750,
Mother tongue,"              Low German, n.o.s.",,20,
Mother tongue,              Low Saxon,,10,
Mother tongue,              Plautdietsch,,180,
Mother tongue,              Vlaams (Flemish),,70,
Mother tongue,            Scandinavian languages,,1000,
Mother tongue,              Danish,,560,
Mother tongue,              Icelandic,,40,
Mother tongue,              Norwegian,,165,
Mother tongue,              Swedish,,235,
Mother tongue,"            Germanic languages, n.i.e.",,25,
Mother tongue,          Greek,,1385,
Mother tongue,          Indo-Iranian languages,,98325,
Mother tongue,            Indo-Aryan languages,,85530,
Mother tongue,              Assamese,,45,
Mother tongue,              Bengali,,4350,
Mother tongue,              Gujarati,,6290,
Mother tongue,              Hindi,,7905,
Mother tongue,              Kacchi,,1030,
Mother tongue,              Kashmiri,,75,
Mother tongue,              Konkani,,160,
Mother tongue,              Marathi,,980,
Mother tongue,              Nepali,,2195,
Mother tongue,              Oriya languages,,95,
Mother tongue,                Odia,,55,
Mother tongue,"                Oriya, n.o.s.",,40,
Mother tongue,              Punjabi (Panjabi),,43685,
Mother tongue,              Rohingya,,25,
